country,first_year
Finland,1991
Norway,1991
Denmark,1992
Poland,1994
Slovenia,1996
Estonia,2000
Latvia,2004
EU,2005
Liechtenstein,2008
Switzerland,2008
New Zealand,2010
Iceland,2010
Ireland,2010
Japan,2012
Australia,2012
United Kingdom,2013
France,2014
Spain,2014
"Korea, Rep.",2015
Portugal,2015
Mexico,2016
Chile,2017
Colombia,2017
Argentina,2018
Singapore,2019
Canada,2019
South Africa,2020
Germany,2021
Netherlands,2021
Luxembourg,2021
China,2022
Uruguay,2022
Austria,2023
Indonesia,2024
Albania,2024
Hungary,2024
Montenegro,2024
Sweden,2024
"Taiwan, China",2024
